campaign_key,campaign_name,campaign_type
45,Brand_Awareness_2024,Unknown
29,Brand_Awareness_2024,Awareness
19,Brand_Awareness_2024,Retention
5,Brand_Awareness_2024,Conversion
12,Brand_Awareness_2024,Consideration
42,Fall_Content_Push,Unknown
18,Fall_Content_Push,Conversion
11,Fall_Content_Push,Awareness
1,Fall_Content_Push,Consideration
2,Fall_Content_Push,Retention
37,Holiday_Retargeting,Unknown
16,Holiday_Retargeting,Consideration
34,Holiday_Retargeting,Retention
6,Holiday_Retargeting,Awareness
4,Holiday_Retargeting,Conversion
10,Lead_Gen_Initiative,Consideration
39,Lead_Gen_Initiative,Unknown
13,Lead_Gen_Initiative,Awareness
36,Lead_Gen_Initiative,Retention
3,Lead_Gen_Initiative,Conversion
32,Product_Launch_Q3,Awareness
24,Product_Launch_Q3,Retention
23,Product_Launch_Q3,Consideration
17,Product_Launch_Q3,Conversion
44,Product_Launch_Q3,Unknown
8,Q1_Enterprise_2024,Conversion
26,Q1_Enterprise_2024,Unknown
15,Q1_Enterprise_2024,Awareness
30,Q1_Enterprise_2024,Retention
35,Q1_Enterprise_2024,Consideration
41,Q2_Growth_Campaign,Unknown
14,Q2_Growth_Campaign,Retention
27,Q2_Growth_Campaign,Conversion
28,Q2_Growth_Campaign,Consideration
25,Q2_Growth_Campaign,Awareness
20,Summer_Webinar_Series,Consideration
21,Summer_Webinar_Series,Awareness
40,Summer_Webinar_Series,Unknown
9,Summer_Webinar_Series,Retention
22,Summer_Webinar_Series,Conversion
31,Unknown,Awareness
38,Unknown,Retention
7,Unknown,Consideration
43,Unknown,Unknown
33,Unknown,Conversion
