touchpoint_id,account_id,date_key,channel_key,campaign_key,ad_spend,impressions,clicks,click_through_rate,cost_per_click,landing_page_visits,form_submissions,demo_requests,mql_generated,sql_generated,opportunities_created,deal_closed,deal_value,sales_cycle_days,roi,roas,cost_per_acquisition,estimated_ltv,engagement_score,email_opens,email_clicks,content_downloads
10001,1103,20240401,129,25,8491.73,36704,7441,20.71,416.25,6091,1015,335,53,12,32,0,0,303,-100,0,0,0,88,40,6,15
10003,1861,20240115,328,6,4213.33,413704,0,7.84,160.83,6573,1277,229,231,90,66,0,0,147,-100,0,0,0,83,33,4,4
10004,1271,20240204,163,3,11274.85,179932,13595,9.96,393.08,5326,1193,413,243,64,2,0,0,25,-100,0,0,0,115,36,11,5
10005,1107,20240906,31,30,2353.42,69781,9184,6.69,342.07,2132,815,56,93,27,41,0,0,0,-100,0,0,0,103,1,12,0
10006,1072,20240930,64,29,5474.42,220559,13125,5.64,66.53,10,619,32,269,104,34,0,0,0,-100,0,0,0,80,25,6,12
10008,1021,20240324,240,1,2506.18,0,0,3.78,354.71,5914,185,214,64,64,47,0,0,289,-100,0,0,0,12,10,20,0
10010,1122,20241110,321,22,2314.75,41350,5181,17.5,446.37,3121,1654,77,188,67,78,0,0,179,-100,0,0,0,142,0,3,16
10011,1467,20240327,151,44,10533.18,361895,1399,6.95,25.296,913,1917,220,159,15,43,0,0,271,-100,0,0,0,84,39,15,16
10013,1331,20240312,284,18,5769.555,214827,2577,19.25,201.78,6511,134,10,160,22,58,0,0,0,-100,0,0,0,38,35,7,13
13706,1537,20241122,49,23,4893.77,117221,0,11.67,446.71,4447,1899,35,232,17,17,0,0,98,-100,0,0,0,56,6,14,14
13708,1353,20241017,85,31,7403.3,397569,1974,3.31,65.25,7015,1734,333,297,139,17,0,0,196,-100,0,0,0,82,42,18,1
13709,1196,20240212,260,35,5467.08,140672,6680,13.02,379.89,7675,1588,85,62,62,65,0,0,90,-100,0,0,0,105,34,16,12
13710,1793,20241022,258,4,5064.4,142026,12233,8.37,87.3,5040,437,38,180,106,15,0,0,92,-100,0,0,0,119,29,9,4
13711,1666,20240920,171,6,4119.83,265182,6512,11.41,428.55,4951,1760,423,100,100,67,0,0,17,-100,0,0,0,142,12,19,2
13712,1382,20240108,12,25,9991.02,84053,75,16.18,349.38,7764,1068,183,40,40,39,0,0,85,-100,0,0,0,142,20,6,3
13713,1645,20240422,61,2,6425.2,318051,13499,14.66,270.02,3104,289,4,168,113,60,0,0,373,-100,0,0,0,66,12,1,18
13714,1227,20240104,178,23,7308.47,11703,10200,17.98,474.668,5562,1335,346,211,140,8,0,0,85,-100,0,0,0,50,6,10,2
13715,1701,20241201,97,17,2488.7,443075,600,24.24,333.27,1337,1556,349,23,23,69,1,81031.19554176345,44,3155.964782487381,32.55964782487381,2488.7,97237.43465011612,28,39,13,17
13716,1476,20240215,15,18,3058.73,497222,14048,12.27,115.2,4531,1479,366,140,91,57,0,0,308,-100,0,0,0,104,3,21,16
13717,1477,20240323,125,28,5769.555,463864,6785,17.44,133.79,1357,278,249,99,70,79,0,0,75,-100,0,0,0,0,39,7,0
